source_run,dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
external_keyless,external_national_illness,moirai_2_0_small,265892.3463541667,328920.125,0.2355346356829007,3.0541115425355474,,,0.170370269425845,0.176658544470856,0.1554890458750113,3,0,False,3,3,0,2.4153999549980654
external_keyless,external_national_illness,auto_arima,268188.421875,327859.765625,0.2387836178143819,3.100643041314596,,,0.1701983485522072,0.1775867314931202,0.1549189418799098,3,0,False,3,3,0,1.033523265999975
external_keyless,external_psm,chronos_t5_tiny,0.0151784400041732,0.0200761357684516,0.0445994542083806,0.5333236808599275,,,0.0276757503135938,0.0352121179346551,0.0195418353569059,45,0,False,15,15,0,51.04428601601467
external_keyless,external_psm,moirai_2_0_small,0.0156117729532221,0.0206466380972415,0.0475553626194596,0.5606208776984137,,,0.028091182244505,0.0367840593693127,0.0189355672069942,15,0,False,15,15,0,0.2489882360059709
external_keyless,external_psm,timesfm_2_5_200m,0.0157196827077617,0.0212181918943921,0.0474320949365695,0.5418184545329808,,,0.0284423275420871,0.0369221479918131,0.0215880566663044,15,0,False,15,15,0,6.864030668999476
external_keyless,external_psm,arima_2_1_2,0.0232522256361941,0.0294524651952087,0.0650912417719761,0.7757893249122632,,,0.0501432955677816,0.058833489951035,0.0607585735747207,15,0,False,15,15,0,1.6994599610006844
external_keyless,external_psm,seasonal_naive,0.0244502235359201,0.0292173032648861,0.0593786346415678,0.8005574990730545,,,0.0552728473480421,0.0585615834929398,0.02924975498529,15,0,False,15,15,0,0.0090005460006068
external_keyless,external_psm,auto_arima,0.026754814852029,0.0335662310322125,0.069119132310152,0.922063083247392,,,0.0493774115371161,0.0560127609757226,0.0602601301958814,15,0,False,15,15,0,14.46890612099378
external_keyless,external_psm,deepar,0.0397198602143261,0.0442692912908064,0.09461075377961,1.3773169680789132,,,0.0770538387604879,0.0839221794843321,0.0576758262802622,45,0,False,15,15,0,548.7939184749921
external_keyless,external_psm,prophet,0.0549738733201391,0.061552619592597,0.1430318721673555,1.5785959958277516,,,0.1056269661615122,0.1073870864976225,0.1017957950983563,45,0,False,15,15,0,4.887133254989749
